City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Barinas,VE,8.6226,-70.2075,78.49,92,66,2.66,broken clouds
163,Honiara,SB,-9.4333,159.95,82.96,75,97,2.33,overcast clouds
164,Bara,NG,10.3744,10.7288,70.95,20,8,6.71,clear sky
165,Chern,RU,53.4523,36.9145,29.57,85,10,17.58,clear sky
166,Vanavara,RU,60.34,102.2797,10.56,96,100,4.05,light snow
167,Babiciu,RO,44.0333,24.5667,38.3,76,50,6.64,scattered clouds
168,Chuy,UY,-33.6971,-53.4616,63.63,97,100,9.4,light rain
169,Iqaluit,CA,63.7506,-68.5145,24.53,68,75,6.91,broken clouds
170,Yellowknife,CA,62.456,-114.3525,11.41,91,90,5.01,light snow
171,Yamada,JP,39.4667,141.95,44.67,60,27,13.85,scattered clouds
172,Beaufort,MY,5.3473,115.7455,84.36,66,85,3.13,overcast clouds
173,Huron,US,41.1501,-82.5499,45.27,95,100,14.12,overcast clouds
174,Yulara,AU,-25.2406,130.9889,73.24,46,0,9.22,clear sky
175,Mozarlandia,BR,-14.7447,-50.5706,76.33,78,89,3.44,overcast clouds
176,Verkhnevilyuysk,RU,63.4453,120.3167,-6.43,100,87,3.18,overcast clouds
177,Sandwick,GB,60.0,-1.25,42.62,87,90,8.05,overcast clouds
178,Manado,ID,1.487,124.8455,83.17,78,40,4.61,scattered clouds
179,Hamilton,US,39.1834,-84.5333,43.12,91,90,4.0,overcast clouds
180,Carnarvon,AU,-24.8667,113.6333,96.87,11,0,18.41,clear sky
181,Atar,MR,20.5169,-13.0499,78.42,29,91,3.53,overcast clouds
182,Phaphund,IN,26.6,79.4667,61.79,50,10,3.02,clear sky
183,The Valley,AI,18.217,-63.0578,78.66,77,100,12.64,overcast clouds
184,San Cristobal,VE,7.7669,-72.225,68.18,97,95,0.83,overcast clouds
185,Skelleftea,SE,64.7507,20.9528,8.96,92,20,5.75,few clouds
186,Ochamchira,GE,42.7121,41.4721,47.3,59,100,4.34,overcast clouds
187,Oktyabrskoye,RU,43.0645,44.7417,28.54,100,100,4.47,overcast clouds
188,Rawson,AR,-43.3002,-65.1023,59.52,66,56,9.15,broken clouds
189,Sorong,ID,-0.8833,131.25,84.29,70,49,3.18,scattered clouds
190,Pag,HR,44.445,15.0575,55.98,84,100,21.88,overcast clouds
191,Lompoc,US,34.6391,-120.4579,62.13,80,1,8.05,clear sky
192,Kutum,SD,14.2,24.6667,58.03,19,0,6.29,clear sky
193,Havoysund,NO,70.9963,24.6622,20.28,68,100,8.72,overcast clouds
194,Mabama,TZ,-5.1333,32.5333,66.69,89,99,2.04,light rain
195,Mount Isa,AU,-20.7333,139.5,82.17,39,75,12.66,broken clouds
196,Kavieng,PG,-2.5744,150.7967,84.69,67,79,5.95,broken clouds
197,Komsomolskiy,UZ,40.4272,71.7189,48.92,71,40,4.61,mist
198,Beni,CD,0.5,29.4667,61.83,97,91,3.13,overcast clouds
199,Progreso,MX,21.2833,-89.6667,74.68,75,0,11.21,clear sky
200,Severo-Yeniseyskiy,RU,60.3725,93.0408,4.55,98,100,3.13,overcast clouds
201,Rio Claro,BR,-22.4114,-47.5614,82.53,55,93,4.47,overcast clouds
202,Najran,SA,17.4924,44.1277,59.65,46,3,1.21,clear sky
203,Shirdi,IN,19.7667,74.4833,70.36,65,7,3.74,clear sky
204,Katobu,ID,-4.9408,122.5276,86.99,65,100,3.83,overcast clouds
205,Liverpool,GB,53.4106,-2.9779,45.99,89,75,7.0,light intensity shower rain
206,Chokurdakh,RU,70.6333,147.9167,-30.33,100,39,4.07,scattered clouds
207,Acapulco,MX,16.8634,-99.8901,78.13,82,1,5.01,clear sky
208,Havelock,US,34.8791,-76.9013,56.95,85,1,3.0,clear sky
209,Norman Wells,CA,65.282,-126.8329,-16.56,69,90,9.22,light snow
210,Tautira,PF,-17.7333,-149.15,87.82,71,3,16.44,clear sky
211,Mandan,US,46.8267,-100.8896,32.04,76,1,14.97,clear sky
212,Margate,GB,51.3813,1.3862,38.7,76,94,1.99,overcast clouds
213,Menongue,AO,-14.6585,17.691,65.53,76,80,5.99,broken clouds
214,Peruibe,BR,-24.32,-46.9983,71.19,93,100,2.93,overcast clouds
215,Oktyabrskiy,RU,54.4815,53.471,11.61,99,83,6.67,broken clouds
216,San Andres,CO,12.5847,-81.7006,82.42,78,40,5.75,scattered clouds
217,Keetmanshoop,NA,-26.5833,18.1333,64.72,36,6,7.05,clear sky
218,Okhotsk,RU,59.3833,143.3,4.77,77,68,8.5,broken clouds
219,Port Maria,JM,18.3685,-76.8895,81.01,78,40,10.29,scattered clouds
220,The Pas,CA,53.8251,-101.2541,14.02,85,90,13.8,light snow
221,Contamana,PE,-7.3333,-75.0167,75.54,79,89,2.3,overcast clouds
222,Oranjestad,AW,12.524,-70.027,82.35,78,40,11.5,scattered clouds
223,Goderich,CA,43.7501,-81.7165,41.32,75,100,16.11,overcast clouds
224,Qasigiannguit,GL,68.8193,-51.1922,25.05,81,100,3.62,overcast clouds
225,Candido Mota,BR,-22.7464,-50.3869,74.44,74,100,8.23,moderate rain
226,Akonolinga,CM,3.7667,12.25,65.66,85,81,2.59,broken clouds
227,Sao Filipe,CV,14.8961,-24.4956,77.9,74,98,10.87,overcast clouds
228,Esso,RU,55.9333,158.7,19.35,97,87,2.19,overcast clouds
229,Ostrovnoy,RU,68.0531,39.5131,25.54,61,100,13.13,overcast clouds
230,Gao,ML,16.6362,1.637,75.79,24,4,10.33,clear sky
231,Acari,PE,-15.4311,-74.6158,70.05,75,100,2.06,overcast clouds
232,Husavik,IS,66.0449,-17.3389,26.51,72,100,22.86,light snow
233,Ambuclao,PH,16.4833,120.75,78.93,72,100,4.12,overcast clouds
234,Salekhard,RU,66.53,66.6019,-3.15,91,55,6.26,broken clouds
235,Katima Mulilo,NA,-17.5,24.2667,76.14,54,100,5.39,overcast clouds
236,Copiapo,CL,-27.3667,-70.3333,55.09,63,0,2.53,clear sky
237,Nowy Tomysl,PL,52.3195,16.1284,37.89,86,100,10.87,overcast clouds
238,Kaka,TM,37.3482,59.6143,46.44,64,100,5.97,overcast clouds
239,Guerrero Negro,MX,27.9769,-114.0611,67.98,52,0,3.42,clear sky
240,Talnakh,RU,69.4865,88.3972,1.04,97,100,6.24,overcast clouds
241,Portobelo,PA,9.55,-79.65,76.96,85,100,2.8,overcast clouds
242,Touros,BR,-5.1989,-35.4608,79.7,79,7,12.35,clear sky
